;ID_station;nom_station;adresse_station;latitude;longitude;type_charge;nbre_pdc;type_connecteur;prix
12;FR*SEO*PAB13082A;Réseau Alterbase - Cerizay - Mairie;Place Jean Monnet - 79140 CERIZAY;46.821;-0.670187;RAPIDE;2.0;T E/F-T3;0.358689218811
13;FR*SEO*PAB17024A;Réseau Alterbase - Cersay - Place de la Mairie;Place de la Mairie - 79290 CERSAY;47.045597;-0.353478;RAPIDE;2.0;T E/F-T2-T3;0.286599637052
14;FR*SEO*PAB02002A;Réseau Alterbase - Champdeniers-Saint-Denis - Place St Antoine;Place Saint Antoine - 79220 CHAMPDENIERS ST DENIS;46.48549392;-0.40244332;RAPIDE;2.0;T E/F-T2-T2;0.387864625784
15;FR*SEO*PAB33001A;Réseau Alterbase - Châtillon sur Thouet - agence Séolis;Rte de Thouars - 79200 CHATILLON SUR THOUET;46.662615;-0.248314;RAPIDE;2.0;T E/F-T3;0.403316522538
16;FR*SEO*PAB50103A;Réseau Alterbase - Chauray - Le Temple;Rue du Vieux Four - 79180 CHAURAY;46.360322;-0.373516;RAPIDE;2.0;T E/F-T3;0.286587411181
17;FR*SEO*PAB79083P0020A;Réseau Alterbase - Chef-Boutonne - Mairie;Place Cail - 79110 CHEF BOUTONNE;46.1084164;-0.06844854;RAPIDE;2.0;T E/F-T2-T3;0.25511925788
18;FR*SEO*PAB79083P0021A;Réseau Alterbase - Chef-Boutonne - Stade;avenue du Président Kennedy - 79110 CHEF BOUTONNE;46.10834219;-0.07567057;RAPIDE;2.0;T E/F-T2-T3;0.351495330378
19;FR*SEO*PAB12228A;Réseau Alterbase - Chiché - Mairie;Place Saint Martin - 79300 CHICHE;46.796145;-0.358129;RAPIDE;2.0;T E/F-T3;0.372971692625
20;FR*SEO*PAB12228B;Réseau Alterbase - Chiché - Aire de covoiturage;Rte de Clessé - 79300 CHICHE;46.795306;-0.357363;RAPIDE;2.0;T E/F-T3;0.23795507511
21;FR*SEO*PAB84138A;Réseau Alterbase - Clussais-La-Pommeraie - Salle des Fêtes;rte de Lezay - 79190 CLUSSAIS LA POMMERAIE;46.18141519;-0.029774;RAPIDE;2.0;T E/F-T2-T3;0.394162860441
22;FR*SEO*PAB40018A;Réseau Alterbase - Coulon - Aire de l'Autremont;Aire de l'Autremont - 79510 COULON;46.321324;-0.589684;RAPIDE;2.0;T E/F-T2-T3;0.235451479916
23;FR*SEO*PAB79101P0012A;Réseau Alterbase - Coulonges-sur-l'Autize - les Halles;Placde des Halles - 79160 COULONGES SUR L'AUTIZE;46.48260664;-0.59730395;RAPIDE;2.0;T E/F-T2-T3;0.367313818092
24;FR*SEO*PAB07005A;Réseau Alterbase - Courlay - Salle des Fêtes;Place de la Solidarité - 79440 COURLAY;46.779143;-0.567109;RAPIDE;2.0;T E/F-T2-T3;0.418074747656
25;FR*SEO*PAB12008A;Réseau Alterbase - Faye l'Abbesse - Centre;RPT du Général de Gaulle - 79350 FAYE L'ABBESSE;46.830708;-0.352278;RAPIDE;2.0;T E/F-T2-T3;0.242721102563
26;FR*SEO*PAB12002A;Réseau Alterbase - Geay - Place de la Mairie;Place de la Mairie - 79330 GEAY;46.87922;-0.326927;RAPIDE;2.0;T E/F-T2-T3;0.309507936717
27;FR*SEO*PAB31001A;Réseau Alterbase - Lageon - Aire de covoiturage;rte de la Liberté - 79200 LAGEON;46.73014296;-0.23694974;RAPIDE;2.0;T E/F-T2-T3;0.434024604907
28;FR*SEO*PAB79048P0012A;Réseau Alterbase - La Crèche - Gare;Parking de la Gare - 79260 LA CRECHE;46.360436;-0.296639;RAPIDE;2.0;T E/F-T2-T3;0.439077129919
29;FR*SEO*PAB34119A;Réseau Alterbase - La Ferrière-en-Parthenay - Place de l'Eglise;route de Poitiers - 79350 LA FERRIERE EN PARTHENAY;46.654902;-0.074488;RAPIDE;2.0;T E/F-T2-T3;0.244034026148
30;FR*SEO*PAB13031A;Réseau Alterbase - La Forêt-sur-Sèvre - Place de la Mairie;Place de la Mairie - 79380 LA FORET SUR SEVRE;46.770453;-0.649319;RAPIDE;2.0;T E/F-T2-T3;0.231588413748
31;FR*SEO*PAB31019A;Réseau Alterbase - La Peyratte - Centre;Place des Marronniers - 79200 LA PEYRATTE;46.674512;-0.148041;RAPIDE;2.0;T E/F-T2-T3;0.205546580588
32;FR*SEO*PAB06050A;Réseau Alterbase - L'Absie - Place de la Mairie;Place du 14 Juillet 1836 - 79240 L'ABSIE;46.633177;-0.576905;RAPIDE;2.0;T E/F-T2-T3;0.220018671842
33;FR*SEO*PAB16007A;Réseau Alterbase - Mauléon - rue de la Fontaine Noire;rue de la Fontaine Noire - 79700 MAULEON;46.923557;-0.748457;RAPIDE;2.0;T E/F-T2-T3;0.226741983512
34;FR*SEO*PAB18117A;Réseau Alterbase - Mauzé-Thouarsais - Mairie;Place de la Mairie - 79100 MAUZE-THOUARSAIS;46.976755;-0.278269;RAPIDE;2.0;T E/F-T2-T3;0.369393701043
35;FR*SEO*PAB29037A;Réseau Alterbase - Mazières en Gâtine - Place des Marronniers;Place des Marronniers - 79310 MAZIERES EN GATINE;46.53364734;-0.3234604;RAPIDE;2.0;T E/F-T2-T3;0.302178806581
36;FR*SEO*PAB79174P141A;Réseau Alterbase - Melle - agence Séolis;27 route de Saintes - 79500 MELLE;46.21338;-0.144056;RAPIDE;2.0;T E/F-T3;0.239975947971
37;FR*SEO*PAB35114A;Réseau Alterbase - Ménigoute - Mairie ;rue des Vignes - 79340 MENIGOUTE;46.49725688;-0.05695068;RAPIDE;2.0;T E/F-T2-T3;0.397901782464
38;FR*SEO*PAB07067A;Réseau Alterbase - Moncoutant - Mairie;Place de l'Hôtel de Ville - 79320 MONCOUTANT;46.721541;-0.589633;RAPIDE;2.0;T E/F-T3;0.370663564411
39;FR*SEO*PAB07301A;Réseau Alterbase - Moncoutant - Salle Omnisports;Place du 8 Mai 1945 - 79320 MONCOUTANT;46.72353;-0.590652;RAPIDE;2.0;T E/F-T3;0.388199255651
40;FR*SEO*PAB07196A;Réseau Alterbase - Moncoutant - Centre ville;Place du 11 Novembre 1918 - 79320 MONCOUTANT;46.723418;-0.586371;RAPIDE;2.0;T E/F-T3;0.356502066266
41;FR*SEO*PAB49067A;Réseau Alterbase - Niort -  agence Séolis;Rue Joule - 79000 NIORT;46.335856;-0.420186;RAPIDE;2.0;T E/F-T3;0.201850982947
42;FR*SEO*PAB73023A;Réseau Alterbase - Nueil les Aubiers - Espace Culturel Belle Arrivée;Av Saint Hubert - 79250 NUEIL LES AUBIERS;46.944964;-0.593893;RAPIDE;2.0;T E/F-T3;0.351426831783
43;FR*SEO*PAB73067A;Réseau Alterbase - Nueil les Aubiers -  Place Colun;Place Colun - 79250 NUEIL LES AUBIERS;46.95686714;-0.58792319;RAPIDE;2.0;T E/F-T2-T3;0.263599191255
44;FR*SEO*PAB22026A;Réseau Alterbase - Oiron - Centre;Parking du lotissement Clos Briant - 79100 OIRON;46.95095884;-0.08293332;RAPIDE;2.0;T E/F-T2-T3;0.223567335881
45;FR*SEO*PAB79202P0043A;Réseau Alterbase - Parthenay - Place de la Mairie;rue de la Citadelle - 79200 PARTHENAY;46.648833;-0.251641;RAPIDE;2.0;T E/F-T2-T3;0.381799008307
46;FR*SEO*PAB22002A;Réseau Alterbase - Pas de Jeu - Place de l'Eglise;Place de l'Eglise - 79100 PAS DE JEU;46.97521972;-0.04221723;RAPIDE;2.0;T E/F-T2-T3;0.365914892436
47;FR*SEO*PAB54092A;Réseau Alterbase - Prahecq - Mairie;Place de l'Eglise - 79230 PRAHECQ;46.25910761;-0.34483773;RAPIDE;2.0;T E/F-T2-T3;0.232865885707
48;FR*SEO*PAB28028A;Réseau Alterbase - Secondigny - Place de la Mairie ;Pl de l'Hôtel de Ville - 79130 SECONDIGNY;46.610536;-0.418977;RAPIDE;2.0;T E/F-T2-T3;0.351830466173
49;FR*SEO*PAB28009A;Réseau Alterbase - St Aubin le Cloud - Place de l'Eglise;Place de l'Eglise - 79300 ST AUBIN LE CLOUD;46.65044958;-0.3532908;RAPIDE;2.0;T E/F-T2-T3;0.267277023639
50;FR*SEO*PAB41018A;Réseau Alterbase - St Hilaire la Palud - La Poste;Place de la Poste - 79210 ST HILAIRE LA PALUD;46.26240115;-0.71177102;RAPIDE;2.0;T E/F-T2-T2;0.37884340274
51;FR*SEO*PAB18008A;Réseau Alterbase - St Jean de Thouars - Place de la Mairie;rue Charles Ragot - 79100 ST JEAN DE THOUARS;46.962352;-0.217966;NORMALE;2.0;T E/F-T2-T3;0.438811168762
52;FR*SEO*PAB24056A;Réseau Alterbase - St Jouin de Marnes - Centre;Place du Monument aux Morts - 79600 ST JOUIN DE MARNES;46.881532;-0.055385;RAPIDE;2.0;T E/F-T2-T3;0.202679767943
53;FR*SEO*PAB25010A;Réseau Alterbase - St Loup Lamairé - Centre;Place du Mirage - 79600 ST LOUP LAMAIRE;46.78781078;-0.16642619;RAPIDE;2.0;T E/F-T2-T3;0.346451642704
54;FR*SEO*PAB79270P0005A;Réseau Alterbase - St Maixent l'Ecole - Place Denfert;Place Denfert Rochereau - 79400 ST MAIXENT L'ECOLE;46.41558618;-0.19848589;RAPIDE;2.0;T E/F-T2-T3;0.352699746291
55;FR*SEO*PAB16001A;Réseau Alterbase - St Pierre des Echaubrognes - Centre;Place Saint Hubert - 79700 ST PIERRE DES ECHAUBROGNES;46.989946;-0.742817;RAPIDE;2.0;T E/F-T2-T3;0.300279825436
56;FR*SEO*PAB47092A;Réseau Alterbase - St Rémy - Salle Polyvalente;Parking Salle Polyvalente - 79410 ST REMY;46.3730661;-0.5216527;RAPIDE;2.0;T E/F-T2-T2;0.39805122511
57;FR*SEO*PAB26031A;Réseau Alterbase - St Varent - Place du 14 Juillet;Pl du 14 Juillet - 79330 ST VARENT;46.888542;-0.232689;RAPIDE;2.0;T E/F-T2-T3;0.444421864624
58;FR*SEO*PAB18024A;Réseau Alterbase - Ste Radegonde - agence Séolis;rue du Général Lescure - 79100 STE RADEGONDE;46.99604;-0.244574;RAPIDE;2.0;T E/F-T2-T3;0.347758975889
59;FR*SEO*PAB32103A;Réseau Alterbase - Thénezay - Place de la Mairie ;Place de la Mairie - 79390 THENEZAY;46.719493;-0.02581;RAPIDE;2.0;T E/F-T2-T3;0.37885634394
60;FR*SEO*PAB79329P0063A;Réseau Alterbase - Thouars - Place Lavault;Place Lavault - 79100 THOUARS;46.978754;-0.214995;RAPIDE;2.0;T E/F-T2-T3;0.30773949104
61;FR*SEO*PAB79329P0055A;Réseau Alterbase - Thouars - Mairie;Place Saint Laon - 79100 THOUARS;46.975545;-0.216606;NORMALE;2.0;T E/F-T2-T3;0.203024791649
62;FR*SEO*PAB79329P0036A;Réseau Alterbase - Thouars - Château de la Trémoïlle;Rue de la Trémoïlle - 79100 THOUARS;46.972578;-0.216844;NORMALE;2.0;T E/F-T2-T3;0.278295360383
63;FR*SEO*PAB34023A;Réseau Alterbase - Vasles - Place de la Mairie;Place du 25 Août - 79340 VASLES;46.57567772;-0.0255528;RAPIDE;2.0;T E/F-T2-T2;0.370719045567
64;FR*SEO*PAB60044A;Réseau Alterbase - Villiers en Bois - Zoodyssée;Zoodyssée - 79360 VILLIERS-EN-BOIS;46.144166;-0.394435;RAPIDE;2.0;T E/F-T3;0.249536267859
65;FR*SEO*PAB01041A;Réseau Alterbase - Villiers en Plaine - Ecole;rue du Commerce - 79160 VILLIERS-EN-PLAINE;46.4077779;-0.5380875;RAPIDE;2.0;T E/F-T2-T2;0.279736368907
66;AUCHAN1;AUCHAN   BUCHELAY;Chemin départemental 110 78200 BUCHELAY;48.983085;1.678852;NORMALE;;;0.33536133533
67;AUCHAN2;AUCHAN   GUILHERAND - GRANGES;1449 Avenue de la République 26000 GUILHERAND - GRANGES;44.93636;4.87298;NORMALE;;;0.282471905183
68;AUCHAN3;AUCHAN   LE HAVRE;ZAC du mont Gaillard (Centre Commercial Grand Cap) 76620 LE HAVRE;49.5254;0.112158;NORMALE;;;0.312438730198
69;AUCHAN4;AUCHAN   NEUILLY/MARNE;1 à 9 avenue du maréchal Foch - RN34 93330 NEUILLY/MARNE;48.856898;2.528373;NORMALE;;;0.258473800456
70;AUCHAN5;AUCHAN   ST MARTIN BOULOGNE;Auchan Côte d'Opale Rte Nationale 42 62200 ST MARTIN BOULOGNE;50.73335;1.670628;NORMALE;;;0.356303758194
71;AUCHAN6;AUCHAN   SETE;Bd Camille Blanc - BP 19, Les Métairies 34201 SETE;43.406903;3.666297;NORMALE;;;0.40179682187
72;AUCHAN7;AUCHAN   LA TRINITE;Route de Laghet  06345 LA TRINITE;43.747869;7.351949;NORMALE;;;0.235921821975
73;AUCHAN8;AUCHAN   BRETIGNY SUR ORGE;Centre Commercial de la maison Neuve  91227 BRETIGNY SUR ORGE;48.58766;2.30467;NORMALE;;;0.277146298751
74;AUCHAN9;AUCHAN   PLAISIR;Chemin Départemental 161  78370 PLAISIR;48.828733;1.95743;NORMALE;;;0.426746148924
75;AUCHAN10;AUCHAN   LE PONTET;ZAC du TRONQUET BP 88 84132 LE PONTET;43.959149;4.863831;NORMALE;;;0.430074537458
76;AUCHAN11;AUCHAN   CHAMBRAY LES TOURS;C.Cial la Vrillonnerie Rte de Joué BP 239 37172 CHAMBRAY LES TOURS;47.338994;0.708564;NORMALE;;;0.287823864858
77;AUCHAN12;AUCHAN   PERPIGNAN;Avenue de l'Espagne 66028 PERPIGNAN;42.688659;2.894833;NORMALE;;;0.384553024578
78;AUCHAN13;AUCHAN   LE POINCONNET;Route de la Châtre 36330 LE POINCONNET;46.764821;1.800888;NORMALE;;;0.203191571071
79;AUCHAN14;AUCHAN   ST QUENTIN LE FAYET;Route d'Amiens RN44  02100 ST QUENTIN LE FAYET;49.8604;3.25245;NORMALE;;;0.20918175737
80;AUCHAN15;AUCHAN   LONGUENESSE;Route d'Arques 62219 LONGUENESSE;50.760835;2.304408;NORMALE;;;0.27660367971
81;AUCHAN16;AUCHAN   SOISY SOUS MONTMORENCY;28, avenue de Paris 95230 SOISY SOUS MONTMORENCY;48.989718;2.29163;NORMALE;;;0.238495185609
82;AUCHAN17;AUCHAN   GRASSE;La Paoute - 158 Rte de Cannes 6131 GRASSE;43.63476;6.951789;NORMALE;;;0.28139836039
83;AUCHAN18;AUCHAN   TOURS;Petite Arche Route de Paris RN 10 37100 TOURS;47.42782;0.69874;NORMALE;;;0.357911692904
84;AUCHAN19;AUCHAN   ST HERBLAIN;Route d'Amiens RN44  44807 ST HERBLAIN;47.210335;-1.651444;NORMALE;;;0.324252828426
85;AUCHAN20;AUCHAN   MARTIGUES;Avenue Paul Eluard  13503 MARTIGUES;43.421933;5.053506;NORMALE;;;0.359438139198
86;AUCHAN21;AUCHAN   FONTENAY SOUS BOIS;Av du Marechal Joffre 94124 FONTENAY SOUS BOIS;48.852815;2.477534;NORMALE;;;0.440345089549
87;AUCHAN22;AUCHAN   EPAGNY;Le Grand Epagny  74330 EPAGNY;45.938877;6.071591;NORMALE;;;0.432485515352
88;AUCHAN23;AUCHAN   GRANDE SYNTHE;Rue de l'ancienne Route Nationale 40 59760 GRANDE SYNTHE;51.032703;2.298463;NORMALE;;;0.330260369595
89;AUCHAN24;AUCHAN   SAINT JEAN DE LA RUELLE;Avenue Pierre Mendes France 45140 SAINT JEAN DE LA RUELLE;47.904247;1.865243;NORMALE;;;0.307674681751
90;AUCHAN25;AUCHAN   CHATELLERAULT;ZUP de la Forêt RN 10 86100 CHATELLERAULT;46.816487;0.548146;NORMALE;;;0.414083157079
91;AUCHAN26;AUCHAN   SAINT SEBASTIEN SUR LOIRE;2 rue Pierre Mendes France  44230 SAINT SEBASTIEN SUR LOIRE;47.192388;-1.491936;NORMALE;;;0.294179589941
92;AUCHAN27;AUCHAN   DOMERAT;Route de Gueret - Terre Neuve 3410 DOMERAT;46.360989;2.533002;NORMALE;;;0.34220627589
93;AUCHAN28;AUCHAN   MONTIVILLIERS;CC Le Grand Havre - La Lézarde 76290 MONTIVILLIERS;49.542538;0.19336;NORMALE;;;0.394658694745
94;AUCHAN29;AUCHAN   VINEUIL;99 Rue Pierre Gilles De Genne 41350 VINEUIL;47.57347;1.372572;NORMALE;;;0.419128046118
95;AUCHAN30;AUCHAN   CALAIS;Route de Boulogne 62100 CALAIS;50.672565;1.814806;NORMALE;;;0.40380931129
96;AUCHAN31;AUCHAN   BEZIERS;4 Avenue de la voie Domitienne 34536 BEZIERS;43.347895;3.245531;NORMALE;;;0.295776027195
97;AUCHAN32;AUCHAN   ESCAUDOEUVRES;2, rue Jean Jaurès 59161 ESCAUDOEUVRES;50.195677;3.269576;NORMALE;;;0.232581345461
98;AUCHAN33;AUCHAN   ARRAS;6 rue Claude Bernard 62000 ARRAS;50.299044;2.735659;NORMALE;;;0.277996727971
99;AUCHAN34;AUCHAN   AUBIERE;Centre Commercial Plein Sud-Rte d'Issoire 63170 AUBIERE;45.75294;3.12805;NORMALE;;;0.245388554092
100;AUCHAN35;AUCHAN   ENGLOS;Route Nationale   59320 ENGLOS;50.63206;2.96671;NORMALE;;;0.33242890453
101;AUCHAN36;AUCHAN   NANCY;Boulevard Lobau 54000 NANCY;48.68043;6.19879;NORMALE;;;0.277503185983
102;AUCHAN37;AUCHAN   CLERMONT-FERRAND;Boulevard Etienne Clémentel  63100 CLERMONT-FERRAND;45.81139;3.10859;NORMALE;;;0.408931757227
103;AUCHAN38;AUCHAN   DIEPPE;ZAC du Belvédère  76371 DIEPPE;49.911;1.07764;NORMALE;;;0.343263134911
104;AUCHAN39;AUCHAN   PETITE FORET;Route Nationale 45 59494 PETITE FORET;50.37599;3.47938;NORMALE;;;0.238833916917
105;AUCHAN40;AUCHAN   VALENCIENNES;Avenue du Général Horne 59300 VALENCIENNES;50.34559;3.51891;NORMALE;;;0.417488851329
106;AUCHAN41;AUCHAN   CHASSENEUIL DU POITOU;Centre commercial RN 10 86360 CHASSENEUIL DU POITOU;46.6658;0.36979;NORMALE;;;0.314498018426
107;AUCHAN42;AUCHAN   NOGENT SUR OISE;Avenue de l'Europe 60180 NOGENT SUR OISE;49.2717;2.48341;NORMALE;;;0.431670963786
108;AUCHAN43;AUCHAN   FONTENAY SOUS BOIS;ZI 10 Chemin Petit  69300 FONTENAY SOUS BOIS;45.80508;4.85813;NORMALE;;;0.419567927453
109;AUCHAN44;AUCHAN   SAINT PRIEST;Centre Commercial  Porte des Alpes - Boulevard Boulloche 69800 SAINT PRIEST;45.72279;4.92501;NORMALE;;;0.434213270412
110;AUCHAN45;AUCHAN   VILLARS;Chemin de Montravel  42390 VILLARS;45.47318;4.34169;NORMALE;;;0.232852061408
111;AUCHAN46;AUCHAN   CASTRES;Centre Commercial Grand Sud, ZI Chartreuse, Route de Toulouse 81100 CASTRES;43.5886;2.18816;NORMALE;;;0.291316842863
112;AUCHAN47;AUCHAN   BRIVES CHARENSAC;Plaine de corsac  43700 BRIVES CHARENSAC;45.0495;3.91478;NORMALE;;;0.292051607783
113;AUCHAN48;AUCHAN   VIRY NOUREUIL;Centre Commercial RD 338 02300 VIRY NOUREUIL;49.64375;3.25926;NORMALE;;;0.347659170995
114;AUCHAN49;AUCHAN   LA GLACERIE;Centre Commercial du Cotentin - Route Nationale 13 50470 LA GLACERIE;49.60296;-1.60006;NORMALE;;;0.316683480641
115;AUCHAN50;AUCHAN   BESSONCOURT;Lieu Dit Blozier- CD 419 90160 BESSONCOURT;47.64011;6.91607;NORMALE;;;0.246622735926
116;AUCHAN51;AUCHAN   NOYON;Centre Commercial Noyon Sud/RN - 32/ZAC du Mont Renaud 60402 NOYON;49.57003;2.97637;NORMALE;;;0.416851878497
117;AUCHAN52;AUCHAN   TRIGNAC;Centre commercial, ZAC de la fontaine au brun  44570 TRIGNAC;47.30152;-2.20928;NORMALE;;;0.354409097051
118;AUCHAN53;AUCHAN   LEERS;1 avenue de l'Europe 59115 LEERS;50.68072;3.22097;NORMALE;;;0.33323004289
119;AUCHAN54;AUCHAN   BEAUVAIS;1 avenue Descartes  60000 BEAUVAIS;49.40971;2.11504;NORMALE;;;0.235698738442
120;AUCHAN55;AUCHAN   MANOSQUE;Quartier Quintrand - Route de Sisteron 04200 MANOSQUE;43.85029;5.82287;NORMALE;;;0.414612927274
121;AUCHAN56;AUCHAN   SCHWEIGHOUSE;ZI Zinsel - BP 330 67507 SCHWEIGHOUSE;48.83293;7.74191;NORMALE;;;0.350446911723
122;AUCHAN57;AUCHAN   PEROLS;Route de Carnon-Centre commercial Plein Sud  34475 PEROLS;43.57264;3.94217;NORMALE;;;0.298384386688
123;AUCHAN58;AUCHAN   CALUIRE;ZI 10 Chemin Petit  69300 CALUIRE;45.80508;4.85813;NORMALE;;;0.399575089199
124;AUCHAN59;AUCHAN   MACON;224, avenue Charles de Gaulle 71000 MACON;46.32422;4.83913;NORMALE;;;0.357002268153
125;AUCHAN60;AUCHAN   SAINT CYR SUR LOIRE;Boulevard Charles de Gaulle  37540 SAINT CYR SUR LOIRE;47.42593;0.65677;NORMALE;;;0.424384906641
126;AUCHAN61;AUCHAN   LA CHAPELLE ST AUBIN;ZAC du Moulin aux Moines  72650 LA CHAPELLE ST AUBIN;48.042;0.17463;NORMALE;;;0.403894476134
127;AUCHAN62;AUCHAN   GIEN;1 Rue de la Fabrique 45500 GIEN;47.68805;2.62035;NORMALE;;;0.234031206095
128;AUCHAN63;AUCHAN   LA COURONNE;Route de Bordeaux 16400 LA COURONNE;45.61948;0.10525;NORMALE;;;0.227697294579
129;AUCHAN64;AUCHAN   AMIENS ;Route de Paris 80044 AMIENS ;49.86228;2.27983;NORMALE;;;0.238971279696
130;AUCHAN65;AUCHAN   OLIVET;Avenue de Verdun 45160 OLIVET;47.86719;1.91162;NORMALE;;;0.414289770822
131;AUCHAN66;AUCHAN   FACHES THUMESNIL;Route de Vendeville 59155 FACHES THUMESNIL;50.58307;3.0812;NORMALE;;;0.325783267398
132;AUCHAN67;AUCHAN   BIAS;RN 111 Route de Bordeaux  47300 BIAS;44.40449;0.672;NORMALE;;;0.345038400992
133;75101-05;Paris/Pyramides/12;12 Rue des Pyramides 75001 PARIS;48.8648594;2.3329713;NORMALE;1.0;T3;0.364819567554
134;75101-06;Paris/Amiral Coligny/2;2 Rue de l'Amiral Coligny 75001 PARIS;48.85971;2.34024;NORMALE;2.0;T3;0.308503407612
135;75101-09;Paris/Victoria/17;17 Avenue Victoria 75001 PARIS;48.857882;2.346828;NORMALE;1.0;T3;0.331481401235
136;75101-14;Paris/Bertin Poirée/14;14 rue Bertin Poirée 75001 PARIS;48.8588109;2.3449501;NORMALE;1.0;T3;0.338995234473
137;75102-04;Paris/Quatre septembre/10;10 rue du Quatre septembre 75002 PARIS;48.869353;2.3382066;NORMALE;1.0;T3;0.265814943129
138;75102-09;Paris/Quatre Septembre/26;26 Rue du Quatre Septembre 75002 PARIS;48.8700633;2.3340228;NORMALE;1.0;T3;0.436652397805
139;75102-10;Paris/Étienne Marcel/36;36 Rue Étienne Marcel 75002 PARIS;48.86502;2.344388;NORMALE;1.0;T3;0.272277808317
140;75102-11;Paris/Paix/24;24 rue de la Paix 75002 PARIS;48.8699261;2.3320835;NORMALE;1.0;T3;0.424304517328
141;75102-12;Paris/Uzès/1;1 rue d'Uzès 75002 PARIS;48.8704209;2.3454538;NORMALE;1.0;T3;0.2268102521
142;75102-13;Paris/Dalayrac/19;19 rue Dalayrac 75002 PARIS;48.868181;2.335097;NORMALE;1.0;T3;0.25953228242
143;75102-15;Paris/Réaumur/116;116 rue Réaumur 75002 PARIS;48.86781;2.34525;NORMALE;1.0;T3;0.257663179073
144;75103-01;Paris/Turenne/46;46 rue de Turenne 75003 PARIS;48.8580079;2.3644786;NORMALE;1.0;T3;0.343146016853
145;75103-02;Paris/Saint Martin/243;243 rue Saint Martin 75003 PARIS;48.865753;2.3533572;NORMALE;2.0;T3;0.376740812753
146;75103-04;Paris/Réaumur/38;38 Rue Réaumur 75003 PARIS;48.8653769;2.3573678;NORMALE;2.0;T3;0.412595843289
147;75103-05;Paris/Perrée/18;18 Rue Perrée 75003 PARIS;48.86502;2.360503;NORMALE;1.0;T3;0.426431760353
148;75103-08;Paris/Filles du Calvaire/19;19 Rue des Filles du Calvaire 75003 PARIS;48.8628;2.3660304;NORMALE;2.0;T3;0.208636405451
149;75103-09;Paris/Pastourelle/27;27 rue Pastourelle 75003 PARIS;48.862833;2.3593315;NORMALE;2.0;T3;0.275430366169
150;75103-11;Paris/Bretagne/51;51 Rue de Bretagne 75003 PARIS;48.8635527;2.3612023;NORMALE;1.0;T3;0.267619163753
151;75103-15;Paris/Beaumarchais/87;87 boulevard Beaumarchais 75003 PARIS;48.8589682;2.3673798;NORMALE;1.0;T3;0.251050693299
152;75103-16;Paris/Turenne/98;98 rue de Turenne 75003 PARIS;48.8623505;2.3648513;NORMALE;1.0;T3;0.31113319297
153;75104-01;Paris/François Miron/80;80 rue François Miron 75004 PARIS;48.8553672;2.3591939;NORMALE;1.0;T3;0.298370125606
154;75104-02;Paris/Fleurs/23;23 Quai aux Fleurs 75004 PARIS;48.8548459;2.3505278;NORMALE;2.0;T3;0.350694608488
